0	293.15
600	295.387051536917
1200	297.237296540126
1800	298.380810839623
2400	298.619870424525
3000	297.913139720814
3600	296.382818887609
4200	294.293514299498
4800	292.006485700502
5400	289.917181112391
6000	288.386860279186
6600	287.680129575474
7200	287.919189160377
7800	289.062703459874
8400	290.912948463083
9000	293.15
9600	295.387051536917
10200	297.237296540126
10800	298.380810839623
11400	298.619870424525
12000	297.913139720814
12600	296.382818887609
13200	294.293514299498
13800	292.006485700502
14400	289.917181112391
15000	288.386860279186
15600	287.680129575474
16200	287.919189160377
16800	289.062703459874
17400	290.912948463083
18000	293.15
18600	295.387051536917
19200	297.237296540126
19800	298.380810839623
20400	298.619870424525
21000	297.913139720814
21600	296.382818887609
22200	294.293514299498
22800	292.006485700502
23400	289.917181112391
24000	288.386860279186
24600	287.680129575474
25200	287.919189160377
25800	289.062703459874
26400	290.912948463083
27000	293.15
27600	295.387051536917
28200	297.237296540126
28800	298.380810839623
29400	298.619870424525

